cod6;nome;Esperança de vida ao nascer 2010;Mortalidade infantil 2010;Mortalidade até 5 anos de idade 2010;IDHM 2010;Taxa de envelhecimento 2010;População em domicílios vulneráveis e com idoso 2010;Renda per capita 2010
110001;Alta Floresta D'Oeste;70.75;23.8;25.49;0.641;5.84;1021;476.99
110002;Ariquemes;73.36;19.2;20.53;0.702;4.36;2382;689.95
110003;Cabixi;70.39;24.8;26.58;0.65;6.87;208;457.17
110004;Cacoal;74.27;14.3;15.38;0.718;5.57;1949;738.06
110005;Cerejeiras;72.94;18.1;19.42;0.692;6.44;393;577.18
110006;Colorado do Oeste;73.81;16.1;17.28;0.685;7.51;480;535.41
110007;Corumbiara;71.45;21.9;23.45;0.613;5.67;96;402.15
110008;Costa Marques;70.04;25.8;27.66;0.611;3.82;691;370.77
110009;Espigão D'Oeste;74.15;15.4;16.47;0.672;5.21;859;590.8
110010;Guajará-Mirim;74.39;14.8;15.92;0.657;4.82;1580;494.69
110011;Jaru;74.51;14.6;15.63;0.689;5.62;1236;575.14
110012;Ji-Paraná;73.6;16.2;17.43;0.714;5.05;3160;743.35
110013;Machadinho D'Oeste;70.32;25;26.79;0.596;4.05;1146;401.42
110014;Nova Brasilândia D'Oeste;70.75;23.8;25.49;0.643;5.49;481;499.59
110015;Ouro Preto do Oeste;73.72;16.3;17.49;0.682;6.04;1048;576.51
110018;Pimenta Bueno;73.15;17.6;18.88;0.71;5.07;695;734.76
110020;Porto Velho;74.14;15.52;16.6;0.736;3.52;6439;929.19
110025;Presidente Médici;70.69;27.2;29.66;0.591;6.7;875;201.15
110025;Presidente Médici;72.51;19.2;20.54;0.664;7.07;739;520.2
110026;Rio Crespo;73.77;16.2;17.37;0.643;6.36;82;420.61
110028;Rolim de Moura;73.46;16.9;18.13;0.7;5.56;1116;657.65
110029;Santa Luzia D'Oeste;73.73;16.3;17.47;0.67;6.89;247;476.08
110030;Vilhena;73.49;16.98;18.16;0.731;4.46;1313;768.98
110032;São Miguel do Guaporé;71.87;20.8;22.27;0.646;4.64;688;440.6
110033;Nova Mamoré;71.15;22.7;24.3;0.587;3.78;752;377.34
110034;Alvorada D'Oeste;70.75;23.8;25.49;0.643;6.12;668;469.26
110037;Alto Alegre dos Parecis;71.64;21.4;22.91;0.592;4.86;352;341.22
110040;Alto Paraíso;74.74;13.9;16.33;0.678;9.26;165;540.24
110040;Alto Paraíso;73.22;17.4;18.7;0.625;4.92;651;498.49
110045;Buritis;73.88;17.1;19.9;0.672;6.45;981;505.59
110045;Buritis;70.08;25.7;27.54;0.616;3.8;810;458.05
110050;Novo Horizonte do Oeste;72.92;18.2;19.47;0.634;6.51;458;346.38
110060;Cacaulândia;73.08;17.8;19.05;0.646;5.93;154;499.93
110070;Campo Novo de Rondônia;71.34;22.2;23.75;0.593;3.58;272;507.69
110080;Candeias do Jamari;74.11;15.4;16.55;0.649;3.96;456;463.63
110090;Castanheiras;73.15;17.6;18.88;0.658;7.13;42;455.53
110092;Chupinguaia;74.21;15.2;16.31;0.652;3.45;88;483.36
110094;Cujubim;72.33;19.6;21.02;0.612;2.78;234;495.31
110100;Governador Jorge Teixeira;70.71;23.9;25.61;0.596;5.68;467;396.36
110110;Itapuã do Oeste;70.08;25.7;27.54;0.614;4.7;326;411.36
110120;Ministro Andreazza;71.55;21.6;23.17;0.638;5.84;336;448.38
110130;Mirante da Serra;72.99;18;19.29;0.643;6.72;746;527.79
110140;Monte Negro;70.71;23.9;25.59;0.607;5.49;341;443.85
110143;Nova União;74.06;16.8;19.55;0.662;9.04;275;387.68
110143;Nova União;70.17;25.4;27.27;0.587;5.43;217;352.24
110145;Parecis;73;18;19.28;0.617;4.32;219;343.73
110146;Pimenteiras do Oeste;73.98;15.7;16.86;0.665;5.18;49;493.67
110147;Primavera de Rondônia;72.94;18.1;19.42;0.641;6.87;166;442.61
110148;São Felipe D'Oeste;71.78;21;22.52;0.649;7.08;267;368.24
110149;São Francisco do Guaporé;70.04;25.8;27.66;0.611;3.9;309;477.9
110150;Seringueiras;71.75;21.1;22.59;0.598;4.52;514;441.13
110155;Teixeirópolis;74.09;15.5;16.6;0.643;7.63;53;464.45
110160;Theobroma;70.4;24.8;26.56;0.589;5.53;230;382.6
110170;Urupá;71.32;22.2;23.83;0.609;5.86;592;380.5
110175;Vale do Anari;70.36;24.9;26.68;0.584;5.32;564;394.02
110180;Vale do Paraíso;72.5;19.2;20.57;0.627;5.77;205;432.03
120001;Acrelândia;73.45;18.3;19.82;0.604;4.3;453;303.76
120005;Assis Brasil;71.19;24.3;26.27;0.588;4.17;482;291.33
120010;Brasiléia;71.22;24.2;26.2;0.614;5.1;1284;376.07
120013;Bujari;71.32;23.9;25.88;0.589;4.63;585;340.95
120017;Capixaba;72.62;20.4;22.09;0.575;4.31;499;336.17
120020;Cruzeiro do Sul;71.58;23.38;25.06;0.664;4.52;4049;450.06
120020;Cruzeiro do Sul;74.65;13.2;15.38;0.713;9.09;98;558.9
120020;Cruzeiro do Sul;74.98;12.8;14.92;0.723;11.07;41;832.23
120025;Epitaciolândia;71.27;24.1;26.05;0.653;5.3;600;467.83
120030;Feijó;68.35;33.2;35.88;0.539;3.79;2162;259.43
120032;Jordão;68.83;31.6;34.15;0.469;1.98;445;178.03
120033;Mâncio Lima;71.17;24.4;26.35;0.625;4.13;1035;295.5
120034;Manoel Urbano;71.04;24.7;26.74;0.551;3.9;627;307.7
120035;Marechal Thaumaturgo;68.55;32.5;35.15;0.501;2.22;849;157.27
120038;Plácido de Castro;72.17;21.6;23.36;0.622;5.25;628;321.16
120039;Porto Walter;68.58;32.4;35.04;0.532;2.41;525;204.19
120040;Rio Branco;72.85;20.03;21.37;0.727;4.31;8482;744.67
120040;Rio Branco;73.99;17;20.81;0.707;8.42;81;626.09
120042;Rodrigues Alves;69.18;30.4;32.9;0.567;3.09;657;200.58
120043;Santa Rosa do Purus;71.86;22.4;24.26;0.517;1.75;266;201.58
120045;Senador Guiomard;72.17;21.6;23.36;0.64;5.55;895;455.06
120050;Sena Madureira;73.59;18;19.48;0.603;4.54;1784;320.8
120060;Tarauacá;68.21;33.7;36.4;0.539;3.95;2356;251.53
120070;Xapuri;71.38;23.7;25.69;0.599;5.49;1168;382.24
120080;Porto Acre;71.24;24.2;26.14;0.576;5.4;806;319.71
130002;Alvarães;71.69;20.8;22.28;0.527;3.23;1020;178.67
130006;Amaturá;71.36;21.7;23.22;0.56;3.51;1327;178.69
130008;Anamã;69.48;27;28.89;0.594;4.1;1077;226.82
130010;Anori;70.42;24.3;25.97;0.561;4.31;1463;229.94
130014;Apuí;71.29;21.9;23.41;0.637;3.18;875;380.62
130020;Atalaia do Norte;68.95;28.6;30.62;0.45;2.87;1797;159.21
130030;Autazes;72.91;17.8;19.07;0.577;4.96;3058;228.43
130040;Barcelos;68.69;29.5;31.5;0.5;3.89;2106;237.29
130050;Barreirinha;71.45;21.5;22.97;0.574;4.88;3266;148.28
130060;Benjamin Constant;70.78;23.2;24.87;0.574;4.07;5362;211.1
130063;Beruri;68.85;29;30.96;0.506;4.1;1506;193.4
130068;Boa Vista do Ramos;69.99;25.5;27.26;0.565;4.06;1726;175.55
130070;Boca do Acre;71.59;21.1;22.57;0.588;4.89;2484;288.42
130080;Borba;71.53;21.3;22.73;0.56;4.58;3003;219.83
130083;Caapiranga;71.49;21.4;22.85;0.569;3.69;772;235.49
130090;Canutama;70.1;25.2;26.92;0.53;4.35;1372;206.44
130100;Carauari;69.68;26.4;28.23;0.549;3.9;2141;222.32
